"","names(dates)","meanages"
"1","2884",38096.5
"2","2652",24761
"3","56",15433.5
"4","2652",27638
"5","24",21236
"6","56",22394
"7","2516",37463
"8","54",33839
"9","56",22658.5
"10","24",25423
"11","759",30114.5
"12","24",17585
"13","71",13819
"14","2107",301.5
"15","2109",258
"16","641",230
"17","1979",211
"18","3444",4910
"19","1324",689
"20","304",586
"21","455",172
"22","1188",704
"23","340",2765
"24","447",168
"25","447",168
"26","447",167
"27","447",168
"28","447",168
"29","447",168
"30","447",168
"31","447",168
"32","455",182
"33","455",295
"34","1068",5463
"35","1325",672
"36","1358",4040
"37","3617",919
"38","4246",2344
"39","1327",688
"40","1321",678
"41","887",1173
"42","1321",662
"43","2299",689
"44","2299",597
"45","340",2028
"46","340",1908
"47","447",293
"48","447",323
"49","447",293
"50","447",325
"51","447",293
"52","447",324
"53","447",293
"54","447",324
"55","447",293
"56","447",324
"57","447",293
"58","447",324
"59","447",293
"60","447",323
"61","447",293
"62","447",330
"63","454",387
"64","455",166
"65","455",290
"66","556",289
"67","1326",755
"68","301",1012
"69","304",593
"70","340",668
"71","447",291
"72","447",386
"73","447",393
"74","447",291
"75","447",385
"76","447",393
"77","447",291
"78","447",386
"79","447",393
"80","447",291
"81","447",385
"82","447",393
"83","447",291
"84","447",386
"85","447",392
"86","447",291
"87","447",386
"88","447",393
"89","447",291
"90","447",385
"91","447",392
"92","447",291
"93","447",385
"94","447",392
"95","454",385
"96","454",428
"97","457",529
"98","458",508
"99","458",508
"100","458",308
"101","831",538
"102","1918",545
"103","1918",601
"104","1918",668
"105","1918",538
"106","1918",676
"107","1991",596
"108","1991",436
"109","2594",180
"110","3515",41511
"111","3701",2110
"112","4215",484
"113","4298",1390
"114","4477",23673
"115","2310",600
"116","229",1314
"117","1323",795
"118","1330",697
"119","229",1127
"120","340",2419
"121","447",293
"122","447",434
"123","447",293
"124","447",435
"125","447",293
"126","447",434
"127","447",293
"128","447",435
"129","447",293
"130","447",434
"131","447",293
"132","447",434
"133","447",293
"134","447",434
"135","447",293
"136","447",434
"137","454",471
"138","456",402
"139","831",179
"140","831",527
"141","885",7017
"142","472",1865
"143","48",909
"144","48",906
"145","48",1450
"146","48",1248
"147","1322",661
"148","1329",748
"149","12",1651
