,a,b,c,d,e
Antilocapra americana,99,302,76,141,191
Bison bison,130,387,108,104,94
Blarina brevicauda,41,71,58,712,1304
Canis latrans,97,193,90,991,1179
Canis lupus,43,116,79,271,466
Castor canadensis,109,485,126,355,469
Cervus elaphus,78,365,116,105,186
Cynomys ludovicianus,27,69,41,203,288
Dipodomys ordii,28,60,65,704,1386
Eptesicus fuscus,52,27,55,876,1716
Geomys bursarius,61,187,25,229,734
Lepus californicus,94,192,30,726,729
Lepus townsendii,26,66,29,274,244
Lontra canadensis,30,121,53,142,481
Lynx rufus,79,255,118,701,1129
Marmota monax,65,172,55,385,351
Mephitis mephitis,74,233,101,862,898
Microtus montanus,22,38,28,489,812
Microtus ochrogaster,43,67,50,255,636
Microtus pennsylvanicus,54,70,95,655,1143
Mustela frenata,45,76,74,1031,868
Neotoma cinerea,93,98,41,494,619
Odocoileus hemionus,80,208,81,502,545
Odocoileus virginianus,143,559,117,365,650
Ondatra zibethicus,106,299,102,737,770
Onychomys leucogaster,55,72,52,477,1109
Ovis canadensis,107,259,88,168,185
Peromyscus leucopus,20,41,88,868,2729
Peromyscus maniculatus,45,115,220,2651,4932
Procyon lotor,118,445,123,648,1289
Puma concolor,23,59,58,243,358
Scalopus aquaticus,86,148,59,538,572
Sciurus carolinensis,55,149,94,621,930
Sciurus niger,29,142,46,648,1165
Sigmodon hispidus,72,100,51,433,1482
Sylvilagus audubonii,23,114,41,678,885
Sylvilagus floridanus,82,245,46,684,1111
Sylvilagus nuttallii,57,119,22,335,338
Tamias striatus,40,120,75,627,813
Tamiasciurus hudsonicus,27,32,72,902,1136
Taxidea taxus,53,193,56,474,649
Thomomys bottae,39,88,77,1102,1392
Thomomys talpoides,76,128,60,665,818
Urocyon cinereoargenteus,55,182,68,537,827
Ursus americanus,38,181,85,291,423
Vulpes vulpes,50,88,48,355,521
